area_id,city_id,grade,fill,label,name,category_i,area,Shape_Leng,Shape_Area,temp2021_mean,temp2017_mean,temp2013_mean,tree2021_mean,averagetemp_mean,tree2013_mean,imperv2021_mean,imperv2013_mean,pop_density_2021,pop_density_2013,house_density_2021,house_density_2013,building_density_2021,white_percent_2021,white_percent_2013,black_percent_2021,black_percent_2013,nonwhite_percent_2021,nonwhite_percent_2013,hispanic_percent_2021,hispanic_percent_2013,holc_area,building_area_2021
6056,128,C,#ffff00,C32,Lents,3,0.0004653,0.144991376,0.000465276,41.58697705,42.03455965,41.08515713,16.78564103,41.56889794,17.90051282,58.46153846,58.37846154,1059.34,2664.55,7204,987.61,15.59619019,65.72,57.84,4.77,5.39,34.28,42.15,14.07,14.8,4043111.039,630571.2872
6057,128,C,#ffff00,C28,Mt. Scott District,3,0.000201407,0.082816581,0.000201475,41.64142632,42.99361944,41.64594299,19.74697337,42.09366292,20.55811138,61.26029056,61.30024213,1506.51,3198.12,4902,1395.11,22.49268575,71.64,73.87,2.29,1.36,28.36,26.13,6.96,9.38,1750416.634,393715.7127
6058,128,B,#7cb5bd,,,2,0.000423278,0.298086739,0.000423384,35.1427632,36.26558277,35.33543034,39.74048836,35.58125877,41.34809767,42.91141397,43.06076093,986.08,1855.84,6279,862.96,15.85473122,83.02,83.13,2.57,1.13,16.98,16.87,11.08,7.76,3679206.304,583328.2704
6059,128,D,#d9838d,D9,South Portland,4,6.35E-05,0.035917742,6.35E-05,39.16328044,39.33788429,39.17286988,32.92509363,39.2246782,34.65168539,48.43071161,48.3670412,1387.11,2372.22,1178,1312.87,15.25791052,82.38,83.66,1.05,1.68,17.62,16.34,10.98,9.31,552227.984,84258.45168
6060,128,A,#76a865,A12,Tervilliger Heights,1,4.74E-05,0.029343679,4.74E-05,32.35600877,33.32501744,33.44464814,53.3,33.04189145,54.38095238,25.56190476,26.52857143,354.51,820.72,287,344.8,12.68771177,90.54,86.39,0,3.25,9.46,13.61,2.52,3.25,411833.7241,52252.27586
6061,128,C,#ffff00,C35,Sam Jackson Park,3,5.83E-05,0.033863188,5.84E-05,27.8826751,27.31272026,28.2082415,57.85892116,27.80121229,59.73029046,18.32780083,18.406639,881.87,1649.32,598,875.95,7.737175485,78.27,65.19,3.14,1.32,21.73,34.81,1.83,4.9,506878.0039,39218.04066
6064,128,A,#76a865,A10,South Portland Heights,1,8.39E-05,0.062677392,8.39E-05,29.91767875,31.25284282,30.54179971,55.26210826,30.57077376,57.49002849,26.66096866,26.9031339,570.93,1369.69,766,579.17,13.57991486,84.55,88.88,0.55,0.3,15.45,11.22,7.28,5.01,728637.2373,98948.31649
6065,128,B,#7cb5bd,B28,Portland Heights,2,6.13E-05,0.051516682,6.13E-05,31.19103362,33.41559497,31.37978428,47.46184739,31.99547096,49.63855422,33.8313253,34.49799197,1252.81,2206.97,1029,1149.5,15.74051671,79.64,86.04,0.46,2.21,20.36,13.96,8.67,4.68,532405.612,83803.39431
6066,128,C,#ffff00,C34,Park Ave.,3,0.000108551,0.091264173,0.000108568,35.59135459,37.05540649,36.32565922,25.04241071,36.3241401,26.74776786,64.34821429,65.12053571,4703.79,6427.28,5340,4406.82,21.80809282,72.13,74.5,2.88,3.5,27.87,25.5,8.71,7.36,942860.8374,205619.9666
6068,128,D,#d9838d,D7,Central West Side,4,4.33E-05,0.030045181,4.33E-05,37.85076076,39.7269689,39.3889647,9.966666667,38.98889812,10.93888889,81.95555556,82.16666667,7656.81,5989.86,2382,4934.39,26.32940849,67.54,75.14,6.15,4.44,32.46,24.81,8.68,4.39,376136.959,99034.6364
6069,128,D,#d9838d,D8,Southwest River District,4,0.000155213,0.075890289,0.000155133,36.35442756,38.97234604,39.17362944,20.5588697,38.16680101,24.45054945,68.31240188,69.69701727,2744.38,3514.71,4558,2267.2,22.66093937,74.42,78.15,3.44,1.44,25.57,21.85,8.02,6.59,1347483.832,305352.4941
