area_id,city_id,grade,fill,label,name,category_i,sheets,area,bounds,label_coor,residentia,commercial,industrial,Shape_Leng,Shape_Area,temp2021_mean,temp2021_std,temp2017_mean,temp2017_std,temp2013_mean,temp2013_std,tree2021_mean,tree2021_std,imperv2021_mean,imperv2021_std,tree2013_mean,tree2013_std,imperv2013_mean,imperv2013_std,averagetemp_mean,averagetemp_std
6055.0,128.0,C,#ffff00,,,3.0,0.0,0.00103910058193,"[[45.46146,-122.62565],[45.5628,-122.56823]]","[45.469,-122.609]",-1,0,0,0.298889204681,0.00103896785,40.60004107292859,1.885251001881941,41.274916914714304,1.7175518539106018,39.77744166200002,1.5017901086733518,21.522312138728324,16.43463913324968,52.31678596167167,15.689843131108029,22.242543352601157,11.41845754566303,52.20526437312399,15.716935291152323,40.5507998832143,1.577880466667382
6058.0,128.0,B,#7cb5bd,,,2.0,0.0,0.000423278365128,"[[45.46196,-122.72521],[45.50698,-122.67396]]","[45.479,-122.705]",-1,0,0,0.298086738531,0.0004233837,35.14276320125001,2.4730518005837574,36.26558277125002,2.189620212752606,35.33543034250002,2.242317196182734,39.775754126351735,18.524724623657605,42.911413969335605,19.687106394637148,41.379055207740464,17.48572145735657,43.06076093128904,19.624969009409984,35.58125877166669,2.2610134449924044
6108.0,128.0,A,#76a865,A1,Gainsborough,1.0,1.0,1.02836763444e-05,"[[45.5665,-122.67813],[45.56962,-122.67478]]","[45.568,-122.676]",-1,0,0,0.0128407936701,1.02891e-05,,,,,,,28.125,13.7031398470083,53.854166666666664,9.989556178273833,29.125,9.483812963852321,54.166666666666664,9.719682207882222,,
6064.0,128.0,A,#76a865,A10,South Portland Heights,1.0,1.0,8.38512862058e-05,"[[45.50091,-122.7128],[45.51038,-122.695]]","[45.507,-122.703]",-1,0,0,0.0626773923942,8.388875e-05,29.917678752500024,1.7314300419576765,31.252842815000022,1.6396540815110616,30.54179971000002,1.6052001932572462,55.27635327635328,14.140543408864733,26.66096866096866,14.413970675308297,57.504273504273506,12.596945271382648,26.903133903133902,14.546389743373286,30.570773759166695,1.642715208206619
6135.0,128.0,A,#76a865,A11,Council Crest,1.0,1.0,7.51778891772e-05,"[[45.49061,-122.71056],[45.50029,-122.69549]]","[45.495,-122.701]",-1,0,0,0.0571790669878,7.51595e-05,28.19812985750002,1.8167025104660988,30.51113247500002,2.0697458201049432,29.067683640000023,1.932879107595487,55.77635782747604,17.24104110996971,22.394904458598727,17.47017766920015,58.21086261980831,15.505134990607894,22.656050955414013,17.721739277051025,29.25898199083336,1.9114032336725615
6060.0,128.0,A,#76a865,A12,Tervilliger Heights,1.0,1.0,4.73606839651e-05,"[[45.47894,-122.69249],[45.48532,-122.6833]]","[45.483,-122.687]",-1,0,0,0.0293436790595,4.73953499999e-05,32.35600877000003,0.0,33.32501744000001,0.0,33.444648140000005,0.0,53.3,15.049141725250204,25.561904761904763,15.885557267694937,54.38095238095238,13.8281155637835,26.52857142857143,16.35212649218219,33.041891450000016,0.0
6049.0,128.0,A,#76a865,A13,Eastmoreland,1.0,1.0,0.000116057521307,"[[45.4649,-122.63707],[45.47937,-122.62614]]","[45.472,-122.631]",-1,0,0,0.0453646214297,0.00011604495,32.716691261428586,1.9240024584681803,34.46932170714288,1.0871986004511112,33.28155975714288,1.3017457471551601,43.59504132231405,12.992896032538013,33.650826446280995,12.000859961388363,46.27479338842975,12.427180660640115,34.392561983471076,11.947493013348419,33.48919090857145,1.359352741196415
6041.0,128.0,A,#76a865,A14,Palatine Hills,1.0,1.0,0.000156700338471,"[[45.43726,-122.67485],[45.45372,-122.65976]]","[45.444,-122.667]",-1,0,0,0.0656880096529,0.0001567065,30.102204360000012,0.9833148697369151,30.793214070000015,1.404347385407537,29.921808860000013,0.8560229405581913,56.193498452012385,18.90635275372117,19.350850077279752,18.940048466357506,57.913312693498455,17.95234254792255,19.11591962905719,18.50837589862138,30.27240909666668,0.9410959277245808
6042.0,128.0,A,#76a865,A15,Riverview and Abernathy Heights,1.0,1.0,0.000138493745327,"[[45.43606,-122.66237],[45.44953,-122.64683]]","[45.443,-122.657]",-1,0,0,0.0514081432005,0.0001385086,30.683635671875027,1.4321716301414882,30.754025521250018,1.0406218366255948,29.946304670000018,1.2372977986749067,48.23519163763066,25.07164817151927,15.611498257839722,13.17255912050115,49.76655052264808,24.89408636975315,15.564459930313589,13.183052880304702,30.46132195437502,1.2017396998510474
6040.0,128.0,A,#76a865,A16,Dunthorp,1.0,1.0,0.000286605122634,"[[45.42333,-122.67449],[45.43726,-122.65133]]","[45.43,-122.663]",-1,0,0,0.0700351946742,0.0002865788,29.35152171750002,2.6235298888469134,30.801854065000025,2.4941674409727517,29.61557958666669,2.2343275482514513,59.088851634534784,19.034062679869646,13.087175188600167,14.011817960753183,61.36211232187762,18.567282500253377,13.12070410729254,14.224950589942129,29.922985123055582,2.4337977151338204
6124.0,128.0,A,#76a865,A2,The Alameda,1.0,1.0,0.000110173231801,"[[45.54141,-122.64292],[45.55394,-122.61343]]","[45.551,-122.629]",-1,0,0,0.0803991502576,0.00011017285,38.452901945000015,1.3610018045983476,39.50333273428574,1.1061489746671789,38.24143230285717,0.9492220147205842,34.83947939262473,11.105110261294975,51.30869565217391,12.63640059660215,35.431670281995665,10.938508626081966,51.66304347826087,12.237928545512355,38.73255566071431,1.088856402011119
