area_id,city_id,grade,fill,label,name,category_i,sheets,area,bounds,label_coor,residentia,commercial,industrial,Shape_Leng,Shape_Area,temp2021_mean,temp2017_mean,temp2013_mean,tree2021_mean,imperv2021_mean,averagetemp_mean,building_area,building_density
6064,128,A,#76a865,A10,South Portland Heights,1,1,8.39E-05,"[[45.50091,-122.7128],[45.51038,-122.695]]","[45.507,-122.703]",-1,0,0,0.062677392,8.39E-05,29.91767875,31.25284282,30.54179971,55.26210826,26.66096866,30.57077376,98948.31649,13.57991486
6065,128,B,#7cb5bd,B28,Portland Heights,2,1,6.13E-05,"[[45.5079,-122.70187],[45.51854,-122.68767]]","[45.512,-122.697]",-1,0,0,0.051516682,6.13E-05,31.19103362,33.41559497,31.37978428,47.46184739,33.8313253,31.99547096,83803.39431,15.74051671
6066,128,C,#ffff00,C34,Park Ave.,3,1,0.000108551,"[[45.50503,-122.69828],[45.52353,-122.68117]]","[45.511,-122.687]",-1,0,0,0.091264173,0.000108568,35.59135459,37.05540649,36.32565922,25.04241071,64.34821429,36.3241401,205619.9666,21.80809282
6068,128,D,#d9838d,D7,Central West Side,4,1,4.33E-05,"[[45.51298,-122.69296],[45.5219,-122.68393]]","[45.518,-122.689]",-1,0,0,0.030045181,4.33E-05,37.85076076,39.7269689,39.3889647,9.966666667,81.95555556,38.98889812,99034.6364,26.32940849
6069,128,D,#d9838d,D8,Southwest River District,4,1,0.000155213,"[[45.4895,-122.68435],[45.51773,-122.67326]]","[45.501,-122.678]",-1,0,0,0.075890289,0.000155133,36.35442756,38.97234604,39.17362944,20.5588697,68.31240188,38.16680101,305352.4941,22.66093937
6070,128,C,#ffff00,C36,,3,1,6.13E-05,"[[45.48407,-122.68614],[45.49571,-122.67592]]","[45.492,-122.681]",-1,0,0,0.043185984,6.14E-05,32.92724536,33.65272011,33.49164592,45.37065637,36.59459459,33.3572038,58995.44094,11.06783788
6071,128,B,#7cb5bd,B27,Washington Park,2,1,1.50E-05,"[[45.51969,-122.70073],[45.52387,-122.69682]]","[45.522,-122.699]",-1,0,0,0.015371307,1.50E-05,33.31134536,35.04940853,32.87725682,29.24285714,62.44285714,33.74600357,36414.98156,27.88180914
6072,128,A,#76a865,A5,Westover Terrace,1,1,6.11E-05,"[[45.52368,-122.71529],[45.5333,-122.69859]]","[45.529,-122.706]",-1,0,0,0.057838593,6.12E-05,33.7584651,34.60634769,34.09635062,43.228,38.212,34.15372114,84840.11581,15.97863146
6073,128,A,#76a865,A6,Kings Heights,1,1,3.01E-05,"[[45.52337,-122.71525],[45.52991,-122.70308]]","[45.527,-122.71]",-1,0,0,0.034398596,3.01E-05,34.35555047,35.0613716,34.13394884,46.2195122,29.7398374,34.51695697,37124.45498,14.19354027
6074,128,A,#76a865,A7,Arlington Heights,1,1,5.71E-05,"[[45.51815,-122.72355],[45.52399,-122.70465]]","[45.521,-122.712]",-1,0,0,0.045984452,5.71E-05,27.80769228,28.41075919,28.01255986,60.93073593,17.75757576,28.07700377,42423.74026,8.557698909
6075,128,A,#76a865,A8,The Highlands,1,1,3.77E-05,"[[45.5071,-122.72605],[45.51546,-122.71981]]","[45.513,-122.722]",-1,0,0,0.028749924,3.77E-05,27.76560791,29.48401747,28.44579389,57.55,22.3375,28.56513976,23651.4439,7.232117187
6076,128,B,#7cb5bd,B26,Willamette Heights,2,1,7.78E-05,"[[45.52357,-122.72793],[45.54044,-122.6973]]","[45.535,-122.716]",-1,0,0,0.096197757,7.78E-05,32.66106706,34.15706117,33.1586738,39.46202532,38.72151899,33.32560067,114205.2485,16.91388463
6077,128,C,#ffff00,C33,Northern Goldsmith Addition,3,1,9.02E-05,"[[45.52313,-122.71871],[45.53832,-122.69246]]","[45.528,-122.695]",-1,0,0,0.078071109,9.03E-05,39.91011781,40.74553886,39.61702259,22.25396825,68.61904762,40.09089309,238507.1832,30.43078989
6078,128,D,#d9838d,D6,Northwest Side,4,1,0.000115742,"[[45.523,-122.70799],[45.54102,-122.69032]]","[45.536,-122.697]",-1,0,0,0.067477321,0.000115743,42.11787389,43.55173328,42.668365,8.397565923,82.53549696,42.77932406,322985.6641,32.14376995
6079,128,C,#ffff00,C22,Richmond,3,1,0.000176251,"[[45.49795,-122.62296],[45.51935,-122.61213]]","[45.509,-122.62]",-1,0,0,0.117226163,0.000176333,39.67414495,41.27439977,39.75855969,28.02902375,63.04881266,40.23570147,361146.1364,23.58111658
6080,128,D,#d9838d,D5,Richmond,4,1,0.000212778,"[[45.49677,-122.65178],[45.51167,-122.62265]]","[45.503,-122.626]",-1,0,0,0.084350223,0.000212927,39.72150007,41.23887308,40.10181176,28.32555426,62.37339557,40.35406164,448125.3295,24.22882983
6081,128,B,#7cb5bd,B13,Colonial Heights,2,1,5.94E-05,"[[45.5057,-122.643],[45.51112,-122.6317]]","[45.508,-122.64]",-1,0,0,0.033274208,5.94E-05,38.17881947,39.84104532,38.77761385,30.97975709,56.34817814,38.93249288,108812.5091,21.10317786
6082,128,D,#d9838d,D4,Central East Side and Sunnyside,4,1,0.000285699,"[[45.51257,-122.66002],[45.53098,-122.6349]]","[45.523,-122.639]",-1,0,0,0.187936934,0.000285643,38.67694247,40.70484306,39.33133309,20.24217463,70.75041186,39.57103954,697115.5671,28.10588299
6083,128,C,#ffff00,C21,Sunnnyside,3,1,0.000121785,"[[45.51251,-122.63493],[45.53383,-122.62296]]","[45.519,-122.633]",-1,0,0,0.099448553,0.000121853,38.57560886,40.56609281,39.36967188,26.88362919,65.26035503,39.50379118,255881.2743,24.18291522
6084,128,B,#7cb5bd,B22,Mt. Tabor,2,1,0.000125519,"[[45.50545,-122.61262],[45.51773,-122.59785]]","[45.511,-122.606]",-1,0,0,0.066398751,0.000125488,38.52724388,39.80021219,38.57363129,35.05675147,55.45205479,38.96702912,222423.0883,20.40860479
6085,128,C,#ffff00,C26,Mt. Tabor District,3,1,8.82E-05,"[[45.49785,-122.61102],[45.50801,-122.59937]]","[45.502,-122.603]",-1,0,0,0.043175613,8.82E-05,40.20890972,41.8200789,40.50257461,22.54155496,58.73726542,40.84385441,146397.6014,19.09913978
