,area_id,city_id,grade,fill,label,name,category_i,sheets,area,bounds,label_coor,residentia,commercial,industrial,Shape_Leng,Shape_Area,geometry,holc_area,building_area,building_density
0,6055.0,128.0,C,#ffff00,,,3.0,0.0,0.00103910058193,"[[45.46146,-122.62565],[45.5628,-122.56823]]","[45.469,-122.609]",-1,0,0,0.298889204681,0.00103896785,"MULTIPOLYGON Z (((-13649537.324769132 5696173.345276641 0, -13649542.890743677 5696792.465441905 0, -13648716.900121987 5696781.3526510615 0, -13645445.220287574 5696762.302184589 0, -13645429.635558859 5696725.7889039 0, -13645453.01265193 5695606.649759483 0, -13644664.87065711 5695586.01446558 0, -13644672.663021466 5694613.03501828 0, -13644738.341521038 5694463.843610171 0, -13646757.677084023 5694479.714918348 0, -13649509.49489643 5694470.192130062 0, -13649537.324769132 5696173.345276641 0)), ((-13645355.05150003 5707668.980893466 0, -13645341.693161134 5707069.768921324 0, -13644237.403812468 5707076.126397138 0, -13644232.951032836 5706907.654816319 0, -13644241.856592095 5706497.6146186795 0, -13644792.888071522 5706491.257554404 0, -13644796.22765625 5706004.95554281 0, -13645381.768177819 5706014.490622037 0, -13645378.428593095 5706518.275108755 0, -13645878.253106756 5706518.275108755 0, -13645874.913522031 5706791.633782028 0, -13645672.312048791 5706794.812420429 0, -13645672.312048791 5707201.687471186 0, -13645940.592021601 5707206.4556480255 0, -13645977.327453567 5707179.436012998 0, -13646125.38237632 5707182.61478935 0, -13646118.703206869 5707684.875657295 0, -13645506.446007507 5707672.159843973 0, -13645355.05150003 5707668.980893466 0)), ((-13645704.59470112 5709408.035739736 0, -13646791.072931265 5709404.856171541 0, -13646781.054177094 5708924.754360901 0, -13647703.892755771 5708932.70285634 0, -13647717.251094662 5708280.94971282 0, -13648271.622158812 5708276.180962589 0, -13648263.829794457 5708832.552330554 0, -13649463.853905208 5708821.424563671 0, -13649447.15598159 5709398.497038547 0, -13650022.677748991 5709398.497038547 0, -13650026.017333714 5709301.5208214475 0, -13650339.938297754 5709304.70035287 0, -13650351.070246832 5709404.856171541 0, -13650624.916194182 5709404.856171541 0, -13650623.802999273 5709598.811901877 0, -13650617.123829827 5710562.293762485 0, -13647140.616132353 5710559.113783454 0, -13647541.36629921 5709948.578780592 0, -13646565.09436495 5709943.80914014 0, -13646549.50963624 5709996.275325102 0, -13645668.972464068 5710020.12369284 0, -13645704.59470112 5709408.035739736 0)))",9024356.842671903,1571615.9491399492,17.41526821843439
1,6058.0,128.0,B,#7cb5bd,,,2.0,0.0,0.000423278365128,"[[45.46196,-122.72521],[45.50698,-122.67396]]","[45.479,-122.705]",-1,0,0,0.298086738531,0.0004233837,"MULTIPOLYGON Z (((-13657522.271843731 5695657.444531825 0, -13657341.934268648 5695541.569378836 0, -13657341.934268648 5695630.459773117 0, -13657284.048133433 5695652.682509682 0, -13657225.04880332 5695620.935760053 0, -13657093.69180418 5695530.458141649 0, -13656987.938287927 5695392.3624880295 0, -13656928.938957809 5695276.490767994 0, -13656913.354229093 5695160.620548497 0, -13656711.865950761 5695382.838728408 0, -13656680.69649334 5695366.965818246 0, -13656701.847196585 5694859.047560035 0, -13656796.468763765 5694800.321370971 0, -13657199.445320433 5694811.4317015065 0, -13657320.783565398 5694747.944284273 0, -13657399.820403859 5694741.595567325 0, -13657643.6100887 5694832.065209093 0, -13657770.514308203 5694779.68793659 0, -13657781.646257283 5695795.544276968 0, -13657643.6100887 5695859.039127996 0, -13657628.025359984 5695689.191410996 0, -13657522.271843731 5695657.444531825 0)), ((-13658874.80365687 5696224.143266449 0, -13658862.558512885 5695952.694855776 0, -13659196.516985264 5695939.99571659 0, -13659196.516985264 5695101.892380116 0, -13660628.085636871 5695089.194448427 0, -13660618.0668827 5694543.200432477 0, -13661054.439286605 5694546.3747200165 0, -13661057.778871328 5695159.033295646 0, -13660886.34685551 5695693.953452572 0, -13660883.00727078 5695824.116904163 0, -13660618.0668827 5695817.767423571 0, -13660611.387713246 5696005.078995449 0, -13659758.680413771 5695976.50579033 0, -13659741.982490154 5696233.667921649 0, -13658874.80365687 5696224.143266449 0)), ((-13656315.568563538 5696292.403519449 0, -13656267.701182496 5696133.659547782 0, -13656225.399775995 5696027.302662529 0, -13656092.929581948 5695916.184879197 0, -13656071.778878702 5695789.194816647 0, -13656002.760794403 5695779.670634606 0, -13656002.760794403 5695546.331341845 0, -13656527.075596042 5695551.093307404 0, -13656532.641570581 5695689.191410996 0, -13657051.390397675 5695705.064892803 0, -13657061.409151847 5695974.918392719 0, -13656865.486848053 5695974.918392719 0, -13656849.902119344 5696287.641159315 0, -13656315.568563538 5696292.403519449 0)), ((-13658058.831789356 5697238.5760174105 0, -13657961.98383237 5697209.998872369 0, -13657859.56990084 5697130.618392896 0, -13657628.025359984 5697127.443188368 0, -13657559.007275697 5697027.424822622 0, -13657515.592674289 5697027.424822622 0, -13657433.216251101 5697040.125505504 0, -13657384.235675149 5697082.990443321 0, -13657344.160658464 5697094.103608869 0, -13657314.10439595 5697063.93933449 0, -13657300.746057058 5696994.085615891 0, -13657357.518997364 5696941.695684893 0, -13657545.648936803 5696908.356797632 0, -13657512.25308956 5696868.667808141 0, -13657436.555835824 5696865.4926965935 0, -13657350.839827916 5696828.97899474 0, -13657307.425226504 5696832.154093321 0, -13657261.784235276 5696878.193149576 0, -13657215.030049149 5696895.656301853 0, -13657174.95503246 5696875.018034634 0, -13657174.95503246 5696819.453705713 0, -13657225.04880332 5696743.251758683 0, -13657284.048133433 5696673.400544089 0, -13657310.764811229 5696567.037242142 0, -13657320.783565398 5696520.999787165 0, -13657429.87666637 5696611.487423473 0, -13657565.686445143 5696636.887626245 0, -13657612.440631274 5696676.575587464 0, -13657664.76079195 5696736.901625721 0, -13657661.421207227 5696279.70389806 0, -13657773.853892928 5696300.340791971 0, -13658025.43594212 5696316.215358128 0, -13658151.226966716 5696249.542369509 0, -13658236.942974623 5696138.421825951 0, -13658270.338821866 5696138.421825951 0, -13658540.845184496 5696884.543382808 0, -13658554.203523384 5697011.5489944 0, -13658544.184769215 5697097.278801563 0, -13658181.283229228 5697170.308544583 0, -13658058.831789356 5697238.5760174105 0)), ((-13660340.881350622 5697381.463112046 0, -13659752.001244325 5697375.112526026 0, -13659758.680413771 5697672.007243197 0, -13659632.88938917 5697610.08721085 0, -13659632.88938917 5697784.734556381 0, -13659443.646254824 5697924.454887968 0, -13659208.76212925 5697906.989727173 0, -13659208.76212925 5697652.954879905 0, -13658501.883362714 5697629.139482854 0, -13658752.352216998 5696789.290357406 0, -13660896.36560968 5696849.617155744 0, -13660886.34685551 5697394.164297562 0, -13661468.547792358 5697397.339596774 0, -13661478.56654653 5698184.8486024095 0, -13661260.380344573 5698165.7951467605 0, -13661015.477464829 5698095.932823234 0, -13660654.802314658 5697897.463290203 0, -13660353.126494607 5697708.524386277 0, -13660340.881350622 5697381.463112046 0)), ((-13661150.174048688 5701300.6345950365 0, -13661123.457370898 5701197.392899775 0, -13661074.47679495 5701205.3345263265 0, -13660945.346185626 5701218.041143479 0, -13660867.42254207 5701192.627927235 0, -13660736.06554294 5701119.565332883 0, -13660653.68911975 5701070.32783429 0, -13660532.350874782 5701036.973553791 0, -13660492.275858097 5700992.501373334 0, -13660422.144578896 5700944.852853993 0, -13660439.955697423 5700841.615266421 0, -13660437.729307612 5700638.320116923 0, -13660524.55851043 5700639.908342366 0, -13660668.160653558 5700620.849655673 0, -13660780.59333925 5700560.497415766 0, -13660869.64893189 5700574.791330514 0, -13660970.949668508 5700485.851787761 0, -13661065.571235683 5700447.735111641 0, -13661171.324751938 5700457.264265449 0, -13661366.133860826 5700546.203523883 0, -13661393.963733524 5700617.673211842 0, -13661434.038750209 5700655.790612309 0, -13661586.546452599 5700657.378840855 0, -13661652.224952163 5700682.790535951 0, -13661707.884697558 5700766.967291747 0, -13661703.431917932 5700828.909184174 0, -13661647.772172531 5700884.498427299 0, -13661645.545782715 5701081.445955429 0, -13661508.622809041 5701089.387479011 0, -13661508.622809041 5701125.9185782615 0, -13661410.661657147 5701133.860141338 0, -13661396.19012334 5701237.101103034 0, -13661379.49219972 5701260.926109635 0, -13661360.567886287 5701413.407655139 0, -13661330.51162377 5701424.526202879 0, -13661241.456031138 5701316.518038579 0, -13661150.174048688 5701300.6345950365 0), (-13661468.547792358 5700935.323180587 0, -13661410.661657147 5700892.439775973 0, -13661199.154624635 5700897.204588548 0, -13661150.174048688 5700878.145353452 0, -13661123.457370898 5700792.379298279 0, -13660952.025355078 5700808.261839028 0, -13660844.04544901 5700805.085328618 0, -13660738.29193275 5700847.968314313 0, -13660670.387043368 5700855.909630525 0, -13660638.10439104 5700944.852853993 0, -13660653.68911975 5701005.207688043 0, -13660710.462060053 5701021.090606816 0, -13660795.064873056 5701008.3842695225 0, -13660888.57324532 5700998.854528412 0, -13660996.553151395 5701095.740702938 0, -13661178.003921386 5701114.800401822 0, -13661220.305327889 5701133.860141338 0, -13661243.682420954 5701184.686311966 0, -13661300.455361256 5701195.804575309 0, -13661330.51162377 5701170.391422287 0, -13661334.964403408 5701133.860141338 0, -13661447.397089103 5701070.32783429 0, -13661497.490859957 5701027.443782202 0, -13661468.547792358 5700935.323180587 0)), ((-13657227.275193136 5701675.491387031 0, -13657221.709218591 5701391.170601127 0, -13657102.597363444 5701386.405525329 0, -13657102.597363444 5701338.754906931 0, -13657112.616117615 5701291.104542457 0, -13657178.294617184 5701211.687832644 0, -13657304.085641775 5701137.036768525 0, -13657476.630852507 5701060.798027158 0, -13657691.47746974 5701024.267193948 0, -13657803.910155445 5701033.796962132 0, -13657787.212231822 5701599.248054499 0, -13657688.13788501 5701691.375496467 0, -13657227.275193136 5701675.491387031 0)))",3679206.3039883785,583328.2704409515,15.854731217670636
2,6108.0,128.0,A,#76a865,A1,Gainsborough,1.0,1.0,1.02836763444e-05,"[[45.5665,-122.67813],[45.56962,-122.67478]]","[45.568,-122.676]",-1,0,0,0.0128407936701,1.02891e-05,"POLYGON Z ((-13656094.042776855 5711190.361814966 0, -13656094.042776855 5711160.14993556 0, -13656466.963071011 5711150.609363293 0, -13656462.510291379 5711646.732634295 0, -13656094.042776855 5711646.732634301 0, -13656094.042776855 5711190.361814966 0))",89270.68669844411,17043.95021923278,19.092437674202227
3,6064.0,128.0,A,#76a865,A10,South Portland Heights,1.0,1.0,8.38512862058e-05,"[[45.50091,-122.7128],[45.51038,-122.695]]","[45.507,-122.703]",-1,0,0,0.0626773923942,8.388875e-05,"POLYGON Z ((-13659109.68778245 5702201.270401213 0, -13658344.922880698 5701921.69825439 0, -13658405.035405729 5701731.085893508 0, -13658426.186108973 5701661.195712657 0, -13658481.845854372 5701588.129289509 0, -13658556.429913206 5701540.477596075 0, -13658641.03272621 5701513.475082528 0, -13658770.163335524 5701529.358904155 0, -13658860.33212307 5701575.422146431 0, -13658915.991868462 5701569.06858166 0, -13658918.218258278 5701535.712440698 0, -13658879.256436503 5701480.119148965 0, -13658701.145251237 5701321.283077134 0, -13658733.427903565 5701241.86609927 0, -13658789.087648964 5701214.86448749 0, -13658846.973784175 5701243.454431929 0, -13658889.275190677 5701346.696659029 0, -13658947.161325889 5701456.293558309 0, -13658985.009952758 5701476.942399886 0, -13659027.311359262 5701476.94239989 0, -13659037.330113433 5701421.349473537 0, -13659011.726630552 5701345.108308042 0, -13659056.254426865 5701294.2812255295 0, -13659042.89608797 5701119.565332883 0, -13659135.291265331 5700905.1459484855 0, -13659283.346188085 5700793.967551081 0, -13659415.816382129 5700754.261315578 0, -13659448.099034457 5700789.202793509 0, -13659419.155966852 5700936.911458773 0, -13659367.949001089 5700995.67795031 0, -13659408.024017774 5701021.090606816 0, -13659465.910152983 5700979.795076679 0, -13659592.814372487 5700900.381131677 0, -13659741.982490154 5700798.732311188 0, -13659770.925557762 5700749.496579161 0, -13659897.829777263 5700757.437807926 0, -13660005.809683332 5700757.437807919 0, -13660063.695818542 5700727.261176131 0, -13660230.675054735 5700822.556149826 0, -13660255.165342713 5700886.086696471 0, -13660255.165342713 5700940.088016012 0, -13660326.409816813 5701060.798027158 0, -13660301.91952884 5701116.388711893 0, -13660164.99655517 5701159.273190541 0, -13660098.204860691 5701203.746200451 0, -13660005.809683332 5701203.746200451 0, -13659945.697158305 5701194.21625113 0, -13659892.263802722 5701138.6250825515 0, -13659730.850541076 5701257.749438424 0, -13659527.135872921 5701456.293558309 0, -13659498.192805316 5701508.709941551 0, -13659519.343508566 5701535.712440698 0, -13659807.660989719 5701553.184689492 0, -13659852.18878604 5701553.184689493 0, -13659913.414505972 5701696.140734786 0, -13659928.999234688 5701767.619614562 0, -13659905.622141616 5701862.925676481 0, -13659792.076261008 5701961.409674376 0, -13659738.64290543 5701945.525085225 0, -13659682.98316003 5701874.0447832 0, -13659638.455363715 5701874.0447832 0, -13659665.172041504 5701950.290459 0, -13659606.172711387 5702034.479148028 0, -13659546.060186356 5702082.133474295 0, -13659508.211559488 5702172.677393969 0, -13659429.174721023 5702231.452008053 0, -13659376.854560351 5702215.566939128 0, -13659331.213569123 5702145.6729711015 0, -13659328.98717931 5702113.90316625 0, -13659236.592001949 5702199.681898408 0, -13659162.00794312 5702220.332456831 0, -13659109.68778245 5702201.270401213 0))",728637.2372956052,98948.31649191602,13.579914863968595
4,6135.0,128.0,A,#76a865,A11,Council Crest,1.0,1.0,7.51778891772e-05,"[[45.49061,-122.71056],[45.50029,-122.69549]]","[45.495,-122.701]",-1,0,0,0.0571790669878,7.51595e-05,"POLYGON Z ((-13658496.317388175 5700153.924519495 0, -13658501.883362714 5700066.577286005 0, -13658572.01464191 5699922.059191375 0, -13658651.05148038 5699879.180645528 0, -13658657.730649823 5699815.657251788 0, -13658647.711895652 5699769.603073469 0, -13658565.335472465 5699729.901385958 0, -13658565.335472465 5699598.093047332 0, -13658528.600040508 5699567.920327397 0, -13658466.261125661 5699537.747709255 0, -13658459.58195621 5699504.399144479 0, -13658499.656972898 5699378.946133638 0, -13658501.883362714 5699332.894204135 0, -13658399.469431184 5699234.439150258 0, -13658412.827770084 5699112.165834115 0, -13658548.63754885 5699115.341743261 0, -13658555.316718293 5699210.61954197 0, -13658615.429243322 5699243.967011323 0, -13658647.711895652 5699240.791056503 0, -13658667.749403995 5699197.915776841 0, -13658671.088988723 5699143.924976299 0, -13658677.768158166 5699091.522452175 0, -13658912.652283743 5699094.698353992 0, -13658949.387715708 5699197.915776841 0, -13659028.424554164 5699277.314605011 0, -13659229.912832506 5699280.490572799 0, -13659308.949670967 5699339.246180313 0, -13659365.722611273 5699515.515318925 0, -13659385.760119615 5699580.624618117 0, -13659451.43861918 5699656.850741447 0, -13659749.774854507 5699650.498539686 0, -13659798.75543046 5699753.722377315 0, -13659706.360253101 5699782.307650698 0, -13659652.926897516 5699818.833410757 0, -13659543.83379654 5699898.237751645 0, -13659547.173381263 5699934.763985185 0, -13659778.717922118 5699931.587785054 0, -13659911.188116156 5699968.114154819 0, -13660053.67706437 5700160.277078838 0, -13660077.054157441 5700239.684451486 0, -13659646.24772807 5700239.684451486 0, -13659649.587312793 5700628.7907701805 0, -13659501.53239004 5700536.674275292 0, -13659399.11845851 5700490.616383695 0, -13659379.080950167 5700411.206782837 0, -13659389.099704338 5700322.268867019 0, -13659283.346188085 5700322.268867019 0, -13659216.554493606 5700307.975355916 0, -13659184.271841273 5700258.742325837 0, -13659170.913502382 5700203.1569725 0, -13659127.498900976 5700219.03846676 0, -13659120.819731524 5700331.79788713 0, -13659107.461392634 5700384.20767916 0, -13659025.084969444 5700417.559524952 0, -13658892.614775397 5700387.384040071 0, -13658840.294614727 5700344.5032630395 0, -13658810.238352213 5700358.796832542 0, -13658820.257106384 5700477.910800177 0, -13658783.521674424 5700560.497415766 0, -13658674.428573446 5700527.145036881 0, -13658634.353556758 5700361.9731844235 0, -13658592.052150257 5700322.268867019 0, -13658602.070904428 5700246.03707176 0, -13658664.409819275 5700172.9822110785 0, -13658674.428573446 5700093.57543071 0, -13658671.088988723 5700066.577286005 0, -13658538.61879468 5700160.277078838 0, -13658496.317388175 5700153.924519495 0))",652933.4366337837,70170.85732126806,10.747015451228206
5,6060.0,128.0,A,#76a865,A12,Tervilliger Heights,1.0,1.0,4.73606839651e-05,"[[45.47894,-122.69249],[45.48532,-122.6833]]","[45.483,-122.687]",-1,0,0,0.0293436790595,4.73953499999e-05,"POLYGON Z ((-13658058.831789356 5697238.5760174105 0, -13658065.510958804 5698251.536016855 0, -13657092.578609273 5698251.536016854 0, -13657125.97445651 5698114.986130095 0, -13657122.634871785 5698007.017927943 0, -13657052.503592588 5697879.9981820965 0, -13657042.484838417 5697714.875208993 0, -13657059.182762036 5697592.622663856 0, -13657089.239024553 5697500.537434381 0, -13657158.257108837 5697424.329685484 0, -13657231.727972763 5697408.45315284 0, -13657694.817054464 5697448.144537277 0, -13658058.831789356 5697238.5760174105 0))",411833.7240703728,52252.27586272964,12.687711765392226
6,6049.0,128.0,A,#76a865,A13,Eastmoreland,1.0,1.0,0.000116057521307,"[[45.4649,-122.63707],[45.47937,-122.62614]]","[45.472,-122.631]",-1,0,0,0.0453646214297,0.00011604495,"POLYGON Z ((-13650728.443320625 5697278.266648098 0, -13650728.443320625 5696608.312403191 0, -13650686.14191412 5696532.112254608 0, -13650679.462744672 5695009.832783753 0, -13651631.244390955 5695397.124371634 0, -13651631.244390955 5695605.062427482 0, -13651728.092347944 5695641.5711344965 0, -13651740.337491931 5696151.12124679 0, -13651753.695830831 5696263.829396686 0, -13651820.4875253 5696392.4136678595 0, -13651896.184779046 5696498.774893692 0, -13651826.053499844 5696540.049739793 0, -13651711.394424327 5696590.849811817 0, -13651656.847873837 5696652.762789616 0, -13651646.829119666 5696735.314093191 0, -13651654.62148402 5696886.130941833 0, -13651586.716594638 5697060.764153625 0, -13651581.1506201 5697135.381201806 0, -13651584.490204822 5697200.473177637 0, -13651398.586655196 5697306.844011231 0, -13651236.060198635 5697287.792425661 0, -13651161.476139806 5697236.98839584 0, -13651109.15597913 5697229.050292257 0, -13651024.553166132 5697263.978000768 0, -13650854.23434522 5697286.204795357 0, -13650728.443320625 5697278.266648098 0))",1008517.7441681908,172368.02375849598,17.091223704810705
7,6041.0,128.0,A,#76a865,A14,Palatine Hills,1.0,1.0,0.000156700338471,"[[45.43726,-122.67485],[45.45372,-122.65976]]","[45.444,-122.667]",-1,0,0,0.0656880096529,0.0001567065,"POLYGON Z ((-13655209.05282505 5693235.489757959 0, -13655185.675731985 5692453.17654765 0, -13654479.910160352 5692470.631066152 0, -13654448.74070293 5692416.680846253 0, -13654437.608753856 5692258.00561374 0, -13654548.928244647 5692369.077981134 0, -13654554.494219186 5692242.138245207 0, -13654712.56789611 5692242.138245203 0, -13654696.983167399 5691194.954109591 0, -13654591.22965115 5691131.492341618 0, -13654432.042779312 5690966.493850474 0, -13654422.02402514 5690623.81439385 0, -13655802.385710979 5690623.814393848 0, -13655840.234337848 5692438.895603294 0, -13655843.573922576 5692935.568497154 0, -13656101.835141215 5693229.142113928 0, -13655209.05282505 5693235.489757959 0))",1362561.2757134512,117005.14176121254,8.587147150497685
8,6042.0,128.0,A,#76a865,A15,Riverview and Abernathy Heights,1.0,1.0,0.000138493745327,"[[45.43606,-122.66237],[45.44953,-122.64683]]","[45.443,-122.657]",-1,0,0,0.0514081432005,0.0001385086,"POLYGON Z ((-13653483.600717755 5690452.479584573 0, -13653632.768835416 5690471.516623678 0, -13653826.464749398 5690496.899405443 0, -13654100.310696749 5690446.133913879 0, -13654105.876671288 5690623.814393848 0, -13654422.02402514 5690623.81439385 0, -13654432.042779312 5690966.493850474 0, -13654591.22965115 5691131.492341618 0, -13654696.983167399 5691194.954109591 0, -13654712.56789611 5692242.138245203 0, -13654554.494219186 5692242.138245207 0, -13654548.928244647 5692369.077981134 0, -13654437.608753856 5692258.00561374 0, -13654448.74070293 5692416.680846253 0, -13654479.910160352 5692470.631066152 0, -13654485.476134896 5692570.598509624 0, -13653951.14257908 5692565.838129855 0, -13653860.973791542 5692384.945574716 0, -13653676.18343683 5691999.371014164 0, -13653516.996564992 5691750.2637722185 0, -13653395.658320026 5691618.572936052 0, -13653204.18879586 5691532.895601019 0, -13653019.39844115 5691444.045897559 0, -13652982.663009185 5691321.878995301 0, -13653009.379686976 5691163.22316937 0, -13653098.435279606 5690961.734323746 0, -13653209.754770406 5690776.114755081 0, -13653305.489532487 5690633.33309053 0, -13653342.224964444 5690517.522968628 0, -13653363.375667699 5690433.442585959 0, -13653483.600717755 5690452.479584573 0))",1204385.2810813931,75827.04098472628,6.29591229449788
9,6040.0,128.0,A,#76a865,A16,Dunthorp,1.0,1.0,0.000286605122634,"[[45.42333,-122.67449],[45.43726,-122.65133]]","[45.43,-122.663]",-1,0,0,0.0700351946742,0.0002865788,"POLYGON Z ((-13653483.600717755 5690452.479584573 0, -13653896.5960286 5688604.493076974 0, -13653960.04813835 5688420.508431939 0, -13655998.308014771 5688414.1642012615 0, -13656061.76012453 5690623.814393854 0, -13655802.385710979 5690623.814393848 0, -13654422.02402514 5690623.81439385 0, -13654105.876671288 5690623.814393848 0, -13654100.310696749 5690446.133913879 0, -13653826.464749398 5690496.899405443 0, -13653632.768835416 5690471.516623678 0, -13653483.600717755 5690452.479584573 0))",2492386.9494869765,163625.9708452208,6.565030798243465
